id,name,team,role,credits,overseas
p01,Sophie Molineux,AUS-W,AR,9,
p02,Ashleigh Gardner,AUS-W,AR,10,
p03,Tahlia McGrath,AUS-W,AR,10.5,
p04,Nicola Carey,AUS-W,BOWL,8,
p05,Kim Garth,AUS-W,AR,9,
p06,Lucy Hamilton,AUS-W,AR,7.5,
p07,Grace Harris,AUS-W,AR,9,
p08,Alana King,AUS-W,AR,9,
p09,Phoebe Litchfield,AUS-W,BAT,9.5,
p10,Beth Mooney,AUS-W,WK,11,
p11,Ellyse Perry,AUS-W,AR,10.5,
p12,Megan Schutt,AUS-W,BOWL,9,
p13,Annabel Sutherland,AUS-W,AR,9.5,
p14,Georgia Voll,AUS-W,BAT,11,
p15,Georgia Wareham,AUS-W,BOWL,9,
p16,Harmanpreet Kaur,IND-W,BAT,10,
p17,Smriti Mandhana,IND-W,BAT,10.5,
p18,Shafali Verma,IND-W,AR,10,
p19,Jemimah Rodrigues,IND-W,BAT,9.5,
p20,Bharti Fulmali,IND-W,BAT,7.5,
p21,Deepti Sharma,IND-W,AR,10.5,
p22,Richa Ghosh ,IND-W,WK,9.5,
p23,Yastika Bhatia,IND-W,WK,9,
p24,Shree Charani,IND-W,BOWL,8,
p25,Nandani Sharma,IND-W,BOWL,7.5,
p26,Arundhati Reddy,IND-W,BOWL,8.5,
p27,Renuka Singh Thakur,IND-W,BOWL,8.5,
p28,Kranti Gaud,IND-W,BOWL,8,
p29,Shreyanka Patil,IND-W,AR,8,
p30,Radha Yadav,IND-W,BOWL,8.5,
p31,Laura Wolvaardt ,SA-W,BAT,10.5,
p32,Tazmin Brits,SA-W,BAT,10,
p33,Nadine de Klerk,SA-W,AR,9,
p34,Annerie Dercksen,SA-W,AR,8,
p35,Shabnim Ismail,SA-W,BOWL,9,
p36,Sinalo Jafta,SA-W,WK,8,
p37,Marizanne Kapp,SA-W,AR,10,
p38,Ayabonga Khaka,SA-W,BOWL,8,
p39,Suné Luus,SA-W,AR,8.5,
p40,Karabo Meso ,SA-W,WK,7.5,
p41,Nonkululeko Mlaba,SA-W,BOWL,9.5,
p42,Kayla Reyneke,SA-W,AR,7.5,
p43,Tumi Sekhukhune,SA-W,BOWL,8,
p44,Chloé Tryon,SA-W,AR,8.5,
p45,Dané van Niekerk,SA-W,AR,8,
p46,Fatima Sana,PAK-W,AR,8.5,
p47,Aliya Riaz,PAK-W,AR,8,
p48,Ayesha Zafar,PAK-W,BAT,8,
p49,Diana Baig,PAK-W,BOWL,8.5,
p50,Eyman Fatima,PAK-W,BAT,7.5,
p51,Gull Feroza,PAK-W,WK,8,
p52,Iram Javed,PAK-W,BAT,8,
p53,Muneeba Ali,PAK-W,WK,8,
p54,Nashra Sandhu,PAK-W,BOWL,9.5,
p55,Natalia Pervaiz,PAK-W,AR,7.5,
p56,Rameen Shamim,PAK-W,BOWL,7.5,
p57,Sadia Iqbal,PAK-W,BOWL,10.5,
p58,Saira Jabeen,PAK-W,AR,7.5,
p59,Tasmia Rubab,PAK-W,BOWL,7.5,
p60,Tuba Hassan,PAK-W,BOWL,8,
p61,Nigar Sultana Joty,BAN-W,WK,8.5,
p62,Nahida Akter,BAN-W,BOWL,8,
p63,Sharmin Akter Supta,BAN-W,BAT,8,
p64,Sobhana Mostary,BAN-W,BAT,8,
p65,Shorna Akter,BAN-W,AR,8,
p66,Ritu Moni,BAN-W,AR,8,
p67,Rabeya Khan,BAN-W,AR,8,
p68,Fahima Khatun,BAN-W,BOWL,8,
p69,Fariha Islam Trisna,BAN-W,BOWL,8,
p70,Marufa Akter,BAN-W,BOWL,8,
p71,Shanjida Akther Maghla,BAN-W,BOWL,7.5,
p72,Sultana Khatun,BAN-W,BOWL,8,
p73,Dilara Akter,BAN-W,WK,7.5,
p74,Juairiya Ferdous,BAN-W,WK,7.5,
p75,Taj Nehar,BAN-W,BAT,7.5,
p76,Babette de Leede,NL-W,WK,8,
p77,Caroline de Lange,NL-W,BOWL,8,
p78,Frédérique Overdijk,NL-W,AR,8,
p79,Hannah Landheer,NL-W,BOWL,8,
p80,Heather Siegers,NL-W,AR,8,
p81,Iris Zwilling,NL-W,AR,8,
p82,Isabel van der Woning,NL-W,BOWL,7.5,
p83,Lara Leemhuis,NL-W,BOWL,7.5,
p84,Myrthe van den Raad,NL-W,BAT,7.5,
p85,Phebe Molkenboer,NL-W,BAT,8,
p86,Robine Rijke,NL-W,AR,8,
p87,Rosalie Lawrence,NL-W,WK,7.5,
p88,Sanya Khurana,NL-W,BAT,7.5,
p89,Silver Siegers,NL-W,BOWL,8,
p90,Sterre Kalis,NL-W,BAT,8,
p91,Nat Sciver-Brunt,ENG-W,AR,10,
p92,Charlie Dean,ENG-W,AR,9.5,
p93,Lauren Bell,ENG-W,BOWL,10,
p94,Alice Capsey,ENG-W,AR,8.5,
p95,Tilly Corteen-Coleman,ENG-W,BOWL,7.5,
p96,Sophia Dunkley,ENG-W,BAT,8.5,
p97,Sophie Ecclestone,ENG-W,BOWL,10.5,
p98,Lauren Filer,ENG-W,BOWL,8,
p99,Dani Gibson,ENG-W,AR,8,
p100,Amy Jones,ENG-W,WK,8.5,
p101,Freya Kemp,ENG-W,AR,8,
p102,Heather Knight,ENG-W,BAT,9,
p103,Linsey Smith,ENG-W,BOWL,11,
p104,Issy Wong,ENG-W,BOWL,9,
p105,Danni Wyatt-Hodge,ENG-W,BAT,8.5,
p106,Amelia Kerr,NZ-W,AR,10.5,
p107,Suzie Bates,NZ-W,AR,9,
p108,Sophie Devine,NZ-W,AR,10,
p109,Flora Devonshire,NZ-W,AR,8,
p110,Izzy Gaze,NZ-W,WK,8,
p111,Maddy Green,NZ-W,BAT,8,
p112,Brooke Halliday,NZ-W,AR,8,
p113,Bree Illing,NZ-W,BOWL,7.5,
p114,Polly Inglis,NZ-W,WK,7.5,
p115,Jess Kerr,NZ-W,BOWL,8.5,
p116,Rosemary Mair,NZ-W,BOWL,8,
p117,Nensi Patel,NZ-W,AR,7.5,
p118,Georgia Plimmer,NZ-W,BAT,8,
p119,Izzy Sharp,NZ-W,BAT,7.5,
p120,Lea Tahuhu,NZ-W,BOWL,8.5,
p121,Hayley Matthews,WI-W,BAT,10.5,
p122,Chinelle Henry ,WI-W,BAT,8,
p123,Aaliyah Alleyne,WI-W,BOWL,8,
p124,Shemaine Campbelle,WI-W,BAT,8,
p125,Jahzara Claxton,WI-W,AR,8,
p126,Deandra Dottin,WI-W,AR,9,
p127,Afy Fletcher,WI-W,BOWL,9,
p128,Jannillea Glasgow,WI-W,BOWL,8,
p129,Shawnisha Hector,WI-W,AR,8,
p130,Zaida James,WI-W,AR,8,
p131,Qiana Joseph,WI-W,AR,8,
p132,Mandy Mangru,WI-W,AR,8,
p133,Ashmini Munisar,WI-W,AR,8,
