id,name,team,role,credits,overseas
,Alex Hales,LAKR,BAT,8.5,Y
,Andre Fletcher,LAKR,BAT,8.5,Y
,Colin Munro,LAKR,BAT,7.5,Y
,Andre Russell,LAKR,AR,9,Y
,Sunil Narine,LAKR,AR,11,Y
,Lloyd Pope,LAKR,BOWL,7,Y
,Kristopher Ramsaran,LAKR,BOWL,7,Y
,Jahmar Hamilton,LAKR,WK,7,Y
,Unmukt Chand,LAKR,WK,7.5,
,Nitish Kumar,LAKR,BAT,9,
,Saif Badar,LAKR,BAT,7,
,Karthik Gattepalli,LAKR,AR,7,
,Matthew Tromp,LAKR,AR,7.5,
,Shadley van Schalkwyk,LAKR,AR,8.5,
,Ali Khan,LAKR,BOWL,8.5,
,Carmi le Roux,LAKR,BOWL,7,
,Nicholas Pooran,MNY,WK,10,Y
,Kieron Pollard,MNY,AR,9,Y
,Trent Boult,MNY,BOWL,9.5,Y
,Quinton de Kock,MNY,WK,10,Y
,Ryan Rickelton,MNY,WK,10.5,Y
,Romario Shepherd,MNY,AR,9.5,Y
,Corbin Bosch,MNY,AR,10,Y
,Allah Ghazanfar,MNY,BOWL,9,Y
,Corey Anderson,MNY,AR,7.5,
,Monank Patel,MNY,WK,8,
,Nosthush Kenjige,MNY,BOWL,7,
,Faisal Khan Ahmadzai,MNY,BOWL,7,Y
,Tristan Luus,MNY,BOWL,8,Y
,Tajinder Singh,MNY,AR,7,
,Agni Chopra,MNY,BAT,7,
,Rushil Ugarkar,MNY,BOWL,7,
,Kunwarjeet Singh,MNY,AR,7,
,Sunny Patel,MNY,AR,7,
,Matt Short,SFU,AR,9,Y
,Ravichandran Ashwin,SFU,BOWL,9,Y
,Finn Allen,SFU,BAT,10,Y
,Haris Rauf,SFU,BOWL,10,Y
,Aaron Hardie,SFU,AR,8.5,Y
,Xavier Bartlett,SFU,BOWL,9,Y
,Cooper Connolly,SFU,AR,10,Y
,Oliver Peake,SFU,AR,7,Y
,Lhuan-dre Pretorius,SFU,WK,9,Y
,Hassan Khan,SFU,BAT,7.5,Y
,Sanjay Krishnamurthi,SFU,AR,8,
,Hammad Azam,SFU,BAT,7,
,Juanoy Drysdale,SFU,AR,7,
,Aakarshit Gomel,SFU,BAT,7,Y
,Zia-Ul-Haq,SFU,BOWL,7.5,Y
,Muhammad Ilyas,SFU,BOWL,7,Y
,Saideep Ganesh,SFU,WK,7.5,
,Marcus Stoinis,SO,AR,10,Y
,Tim Seifert,SO,WK,9,Y
,Shimron Hetmyer,SO,BAT,10,Y
,Matthew Breetzke,SO,BAT,9,Y
,Tanveer Sangha,SO,BOWL,8,Y
,Lungi Ngidi,SO,BOWL,10,Y
,Ottniel Baartman,SO,BOWL,8,Y
,Dasun Shanaka,SO,AR,8,Y
,Tim Robinson,SO,BAT,8,Y
,Harmeet Singh,SO,AR,9,
,Shehan Jayasuriya,SO,AR,8,
,Shayan Jahangir,SO,BAT,9,
,Jasdeep Singh,SO,BOWL,7,
,Ayan Desai,SO,BOWL,7,
,Rahul Jariwala,SO,BAT,7,
,Ali Sheikh,SO,AR,8,
,Cameron Gannon,SO,BOWL,7.5,
,Sujit Nayak,SO,AR,7,Y
,Sharad Lumba,SO,BAT,7,Y
,Faf du Plessis,TSK,BAT,9,Y
,Rilee Rossouw,TSK,BAT,8.5,Y
,Donovan Ferreira,TSK,AR,9.5,Y
,Wiaan Mulder,TSK,AR,9,Y
,Adam Milne,TSK,BOWL,8.5,Y
,Nandre Burger,TSK,BOWL,10,Y
,Keshav Maharaj,TSK,BOWL,8,Y
,Akeal Hosein,TSK,BOWL,9,Y
,Hardus Viljoen,TSK,BOWL,8,Y
,Saiteja Mukkamalla,TSK,BAT,7,
,Milind Kumar,TSK,AR,8,
,Shubham Ranjane,TSK,AR,9,
,Joshua Tromp,TSK,AR,8,
,Mohammad Mohsin,TSK,AR,7,
,Calvin Savage,TSK,AR,7,
,Smit Patel,TSK,WK,7,
,Amshi de Silva,TSK,AR,7,
,Abhimanyu Lamba,TSK,BOWL,7,
,Steve Smith,WF,BAT,9.5,Y
,Glenn Maxwell,WF,AR,10.5,Y
,Rachin Ravindra,WF,AR,9.5,Y
,Lockie Ferguson,WF,AR,8.5,Y
,Marco Jansen,WF,AR,9.5,Y
,Mark Chapman,WF,AR,9,Y
,Jack Edwards,WF,AR,8,Y
,Mitchell Owen,WF,AR,9.5,Y
,Saurabh Netravalkar,WF,BOWL,8,
,Andries Gous,WF,WK,8,
,Obus Pienaar,WF,AR,7,
,Mukhtar Ahmed,WF,BAT,7,
,Ian Holland,WF,AR,7,
,Lahiru Milantha,WF,WK,7,
,Amila Aponso,WF,BOWL,7,
,Abhishek Paradkar,WF,BOWL,7,
,Yasir Mohammad,WF,BOWL,7,
,Nikhil Chaudhary,WF,AR,8,Y
,Ben Dwarshuis,WF,BOWL,9,Y
,Asif Mehmood,WF,BOWL,7,
