id,name,team,role,credits,overseas
p537,Alex Hales,TKR,BAT,8.5,Y
p539,Colin Munro,TKR,BAT,9.5,Y
p591,Matthew Breetzke,TKR,BAT,9,Y
p553,Nicholas Pooran,TKR,WK,10.5,
p541,Sunil Narine,TKR,AR,11,
p554,Kieron Pollard,TKR,AR,10,
p614,Akeal Hosein,TKR,BOWL,9.5,
p623,Amshi de Silva,TKR,AR,8,Y
,Joshua Da Silva,TKR,WK,8,
,Jyd Goolie,TKR,BAT,8,
,Dexter Sween,TKR,BAT,8,
,Dominic Drakes,TKR,AR,8,
,Justin Greaves,TKR,AR,8,
,Nathan Edward,TKR,AR,8,
,Terrance Hinds,TKR,BOWL,8,
,Usman Tariq,TKR,BOWL,9.5,Y
,Abdul-Raheem Toppin,TKR,BOWL,8,
p589,Tim Seifert,SLK,WK,10.5,Y
p550,Shadley van Schalkwyk,SLK,AR,9,Y
,Jewel Andrew,SLK,WK,8,
,Ackeem Auguste,SLK,BAT,8,
,Johann Jeremiah,SLK,BAT,8,
,Roston Chase,SLK,AR,9.5,
,Charith Asalanka,SLK,AR,9,Y
,Joshua Bishop,SLK,BOWL,8,
,McKenny Clarke,SLK,BOWL,8,
,Keon Gaston,SLK,BOWL,8,
,Matthew Forde,SLK,BOWL,8,
,Noor Ahmad,SLK,BOWL,10,Y
,Maheesh Theekshana,SLK,BOWL,9.5,Y
,Amari Goodridge,SLK,BAT,8,
,Darren Nedd,SLK,BAT,8,
,Kamil Pooran,SLK,BAT,8,
,Damion Joachim,SLK,BAT,8,
p538,Andre Fletcher,SNP,BAT,10,
p642,Nikhil Chaudhary,SNP,AR,8,Y
p595,Dasun Shanaka,SNP,AR,8,Y
,Alick Athanaze,SNP,BAT,8,
,Johnson Charles,SNP,WK,10.5,
,Mikyle Louis,SNP,BAT,8,
,Kevin Wickham,SNP,BAT,8,
,Navin Bidaisee,SNP,AR,8,
scr_1781916475717,Jason Holder,SNP,AR,11,
,Wanindu Hasaranga,SNP,AR,10.5,Y
,Kyle Mayers,SNP,AR,8,
,Jeremiah Louis,SNP,BOWL,8,
,Obed McCoy,SNP,BOWL,9,
,Micah McKenzie,SNP,BOWL,8,
,Ashmead Nedd,SNP,BOWL,8,
,Waqar Salamkheil,SNP,BOWL,8.5,Y
,Naseem Shah,SNP,BOWL,9,Y
p599,Shayan Jahangir,JK,BAT,9,Y
,Keacy Carty,JK,BAT,8,
,Kirk McKenzie,JK,BAT,8,
,Shaqkere Parris,JK,BAT,8,
scr_1781916608352,Rovman Powell,JK,BAT,10,
,Tayyab Arif,JK,BAT,8,
,Usman Khan,JK,WK,8,
p580,Hassan Khan,JK,AR,9,Y
,Maaz Sadaqat,JK,AR,9,Y
,Keemo Paul,JK,AR,8,
p540,Andre Russell,JK,AR,11,
,Odean Smith,JK,AR,8.5,
,Saim Ayub,JK,AR,9,Y
,Jediah Blades,JK,BOWL,8,
,Hunain Shah,JK,BOWL,8,Y
,Kelvin Pitman,JK,BOWL,8,
,Vitel Lawes,JK,BOWL,8,
,Jeavor Royal,JK,BOWL,8,
,Romaine Morris,JK,BAT,8,
p590,Shimron Hetmyer,GAW,BAT,10.5,
,Shai Hope,GAW,WK,10,
,Matthew Nandu,GAW,BAT,8,
,Quentin Sampson,GAW,BAT,8,
,Rahmanullah Gurbaz,GAW,WK,10,Y
p558,Romario Shepherd,GAW,AR,10.5,
,Ronaldo Alimohamed,GAW,AR,8,
,Mavendra Dindyal,GAW,AR,8,
,Mohammad Nabi,GAW,AR,9,Y
,Glenn Phillips,GAW,AR,10,Y
,Khary Pierre,GAW,AR,8,
,Dwaine Pretorius,GAW,AR,9.5,Y
,Jonathan van Lange,GAW,AR,8,
,Imran Tahir,GAW,BOWL,10,Y
,Shamar Joseph,GAW,BOWL,9.5,
,Isai Thorne,GAW,BOWL,8,
,Veerasammy Permaul,GAW,BOWL,9,
p556,Quinton de Kock,BT,WK,11,Y
,Brandon King,BT,BAT,10,
,Zachary Carter,BT,BAT,8,
,Kofi James,BT,BAT,8,
,Sherfane Rutherford,BT,BAT,9.5,
,Kadeem Alleyne,BT,AR,8,
,Shadrack Descarte,BT,AR,8,
,Chris Green,BT,AR,8.5,Y
,Johann Layne,BT,AR,8,
,Daniel Sams,BT,AR,9,Y
,George Linde,BT,AR,9.5,Y
,Gudakesh Motie,BT,BOWL,9,
,Zishan Motara,BT,BOWL,8,
,Mujeeb Ur Rahman,BT,BOWL,9.5,Y
,Ramon Simmonds,BT,BOWL,8,
,Jakeem Pollard,BT,BOWL,8,
p544,Jahmar Hamilton,ABF,WK,8.5,
,Amir Jangoo,ABF,BAT,9,
,Kusal Perera,ABF,WK,9.5,Y
,Evin Lewis,ABF,BAT,10,
,Moeen Ali,ABF,AR,10,Y
,Fabian Allen,ABF,AR,9.5,
,Rahkeem Cornwall,ABF,AR,8.5,
p617,Milind Kumar,ABF,AR,8,Y
,Shamar Springer,ABF,AR,8,
,Shadab Khan,ABF,AR,9,Y
p566,Tajinder Singh,ABF,AR,8,Y
,Karima Gore,ABF,BOWL,8,
,Joshua James,ABF,BOWL,8,
,Anderson Mahase,ABF,BOWL,8,
,Alzarri Joseph,ABF,BOWL,9.5,
,Anderson Phillip,ABF,BOWL,8,
,Jayden Seales,ABF,BOWL,9,
,Sufyan Moqim,ABF,BOWL,8.5,Y
